docId	annotSet	annotType	annotId	text	other
S175058361300203X-1240	1	Quantity	T1	approximately 6.2 MPa	"{""unit"": ""MPa"", ""mods"": [""IsApproximate""]}"
S175058361300203X-1240	1	Quantity	T2	34 °C	"{""unit"": ""°C""}"
S175058361300203X-1240	1	MeasuredEntity	T3	pressure	"{""HasQuantity"": ""T1""}"
S175058361300203X-1240	1	MeasuredEntity	T4	temperature	"{""HasQuantity"": ""T2""}"
S175058361300203X-1240	2	Quantity	T5	approximately 7.73 MPa	"{""unit"": ""MPa"", ""mods"": [""IsApproximate""]}"
S175058361300203X-1240	2	Quantity	T6	38 °C	"{""unit"": ""°C""}"
S175058361300203X-1240	2	MeasuredEntity	T7	pressure	"{""HasQuantity"": ""T5""}"
S175058361300203X-1240	2	MeasuredEntity	T8	temperature	"{""HasQuantity"": ""T6""}"
S175058361300203X-1240	3	Quantity	T7	around 260 kg/m3	"{""unit"": ""kg/m3"", ""mods"": [""IsApproximate""]}"
S175058361300203X-1240	3	Quantity	T8	near 320 kg/m3	"{""unit"": ""kg/m3"", ""mods"": [""IsApproximate""]}"
S175058361300203X-1240	3	MeasuredEntity	T9	CO2 density	"{""HasQuantity"": ""T7""}"
S175058361300203X-1240	3	MeasuredEntity	T10	CO2 density	"{""HasQuantity"": ""T8""}"
S175058361300203X-1240	4	Quantity	T9	34 °C	"{""unit"": ""°C""}"
S175058361300203X-1240	4	MeasuredEntity	T11	ambient temperature	"{""HasQuantity"": ""T9""}"
