docId	annotSet	annotType	annotId	text	other
S0378383913001567-6892	1	Quantity	T1	40 m	"{""unit"": ""m""}"
S0378383913001567-6892	1	MeasuredEntity	T2	channel	"{""HasQuantity"": ""T1""}"
S0378383913001567-6892	1	MeasuredProperty	T3	width	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S0378383913001567-6892	2	Quantity	T4	90 m	"{""unit"": ""m""}"
S0378383913001567-6892	2	MeasuredEntity	T5	channel	"{""HasQuantity"": ""T4""}"
S0378383913001567-6892	2	MeasuredProperty	T6	length	"{""HasQuantity"": ""T4"", ""HasProperty"": ""T5""}"
S0378383913001567-6892	3	Quantity	T7	two	"{""mods"": [""IsCount""]}"
S0378383913001567-6892	3	MeasuredEntity	T8	wall constrictions	"{""HasQuantity"": ""T7""}"
S0378383913001567-6892	3	MeasuredProperty	T9	symmetry	"{""HasQuantity"": ""T7"", ""HasProperty"": ""T8""}"
S0378383913001567-6892	4	Quantity	T10	5°	"{""unit"": ""°""}"
S0378383913001567-6892	4	MeasuredEntity	T11	angle β	"{""HasQuantity"": ""T10""}"
S0378383913001567-6892	4	MeasuredProperty	T12	angle	"{""HasQuantity"": ""T10"", ""HasProperty"": ""T11""}"
S0378383913001567-6892	5	Quantity	T13	10 m	"{""unit"": ""m""}"
S0378383913001567-6892	5	MeasuredEntity	T14	x-direction	"{""HasQuantity"": ""T13""}"
S0378383913001567-6892	5	MeasuredProperty	T15	starting point	"{""HasQuantity"": ""T13"", ""HasProperty"": ""T14""}"
S0378383913001567-6892	6	Quantity	T16	121 × 53	"{""mods"": [""IsList""]}"
S0378383913001567-6892	6	MeasuredEntity	T17	regular curvilinear grid	"{""HasQuantity"": ""T16""}"
S0378383913001567-6892	6	MeasuredProperty	T18	grid size	"{""HasQuantity"": ""T16"", ""HasProperty"": ""T17""}"
S0378383913001567-6892	7	Quantity	T19	1 m	"{""unit"": ""m""}"
S0378383913001567-6892	7	MeasuredEntity	T20	water depth h	"{""HasQuantity"": ""T19""}"
S0378383913001567-6892	7	MeasuredProperty	T21	depth	"{""HasQuantity"": ""T19"", ""HasProperty"": ""T20""}"
S0378383913001567-6892	8	Quantity	T22	2.5	"{""mods"": [""IsMean""]}"
S0378383913001567-6892	8	MeasuredEntity	T23	Froude number Fr	"{""HasQuantity"": ""T22""}"
S0378383913001567-6892	8	MeasuredProperty	T24	Froude number	"{""HasQuantity"": ""T22"", ""HasProperty"": ""T23""}"
