docId	annotSet	annotType	annotId	text	other
S1750583613004192-714	1	Quantity	T1	5 Mt	"{""unit"": ""Mt""}"
S1750583613004192-714	1	MeasuredEntity	T2	CO2	"{""HasQuantity"": ""T1""}"
S1750583613004192-714	1	MeasuredProperty	T3	mass	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S1750583613004192-714	2	Quantity	T4	nine	"{""mods"": [""IsCount""]}"
S1750583613004192-714	2	MeasuredEntity	T5	plume layers	"{""HasQuantity"": ""T4""}"
S1750583613004192-714	2	MeasuredProperty	T6	count	"{""HasQuantity"": ""T4"", ""HasProperty"": ""T5""}"
S1750583613004192-714	3	Quantity	T7	approximately 220 m	"{""unit"": ""m"", ""mods"": [""IsApproximate""]}"
S1750583613004192-714	3	MeasuredEntity	T8	CO2	"{""HasQuantity"": ""T7""}"
S1750583613004192-714	3	MeasuredProperty	T9	vertical migration distance	"{""HasQuantity"": ""T7"", ""HasProperty"": ""T8""}"
S1750583613004192-714	4	Quantity	T10	1012 mbsl	"{""unit"": ""mbsl""}"
S1750583613004192-714	4	MeasuredEntity	T11	injection point (IP)	"{""HasQuantity"": ""T10""}"
S1750583613004192-714	4	MeasuredProperty	T12	depth	"{""HasQuantity"": ""T10"", ""HasProperty"": ""T11""}"
S1750583613004192-714	5	Quantity	T13	3 years	"{""unit"": ""years""}"
S1750583613004192-714	5	MeasuredEntity	T14	CO2 migration	"{""HasQuantity"": ""T13""}"
S1750583613004192-714	5	MeasuredProperty	T15	time	"{""HasQuantity"": ""T13"", ""HasProperty"": ""T14""}"
