docId	annotSet	annotType	annotId	text	other
S0012821X12004384-1284	1	Quantity	T1	225 samples	"{""unit"": ""samples"", ""mods"": [""IsCount""]}"
S0012821X12004384-1284	1	MeasuredEntity	T2	samples	"{""HasQuantity"": ""T1""}"
S0012821X12004384-1284	1	MeasuredProperty	T3	C and N analyses	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S0012821X12004384-1284	2	Quantity	T4	1.167	"{""mods"": [""IsCount""]}"
S0012821X12004384-1284	2	MeasuredEntity	T5	C/N atomic ratios	"{""HasQuantity"": ""T4""}"
S0012821X12004384-1284	3	Quantity	T5	±<0.1	"{""mods"": [""HasTolerance""]}"
S0012821X12004384-1284	3	MeasuredProperty	T6	precision	"{""HasQuantity"": ""T5""}"
S0012821X12004384-1284	4	Quantity	T7	289 bulk rock samples	"{""unit"": ""samples"", ""mods"": [""IsCount""]}"
S0012821X12004384-1284	4	MeasuredEntity	T8	bulk rock samples	"{""HasQuantity"": ""T7""}"
S0012821X12004384-1284	5	Quantity	T9	24 h	"{""unit"": ""h""}"
S0012821X12004384-1284	5	MeasuredEntity	T10	samples	"{""HasQuantity"": ""T9""}"
S0012821X12004384-1284	5	MeasuredProperty	T11	refluxed time	"{""HasQuantity"": ""T9"", ""HasProperty"": ""T10""}"
S0012821X12004384-1284	6	Quantity	T12	93:7	"{""unit"": ""v/v""}"
S0012821X12004384-1284	6	MeasuredEntity	T13	azeotropic mixture	"{""HasQuantity"": ""T12""}"
S0012821X12004384-1284	7	Quantity	T14	5%	"{""unit"": ""%""}"
S0012821X12004384-1284	7	MeasuredEntity	T15	HCl	"{""HasQuantity"": ""T14""}"
S0012821X12004384-1284	8	Quantity	T16	>250 μm	"{""unit"": ""μm""}"
S0012821X12004384-1284	8	MeasuredEntity	T17	size fractions	"{""HasQuantity"": ""T16""}"
S0012821X12004384-1284	9	Quantity	T18	35 samples	"{""unit"": ""samples"", ""mods"": [""IsCount""]}"
S0012821X12004384-1284	9	MeasuredEntity	T19	samples	"{""HasQuantity"": ""T18""}"
S0012821X12004384-1284	10	Quantity	T20	0.4‰	"{""unit"": ""‰"", ""mods"": [""IsMean""]}"
S0012821X12004384-1284	10	MeasuredProperty	T21	standard deviation	"{""HasQuantity"": ""T20""}"
