docId	annotSet	annotType	annotId	text	other
S030881461301604X-1002	1	Quantity	T1	100 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	1	MeasuredEntity	T2	AB	"{""HasProperty"": ""T3""}"
S030881461301604X-1002	1	MeasuredProperty	T3	concentrations	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S030881461301604X-1002	2	Quantity	T4	1 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	2	MeasuredEntity	T5	AB	"{""HasProperty"": ""T6""}"
S030881461301604X-1002	2	MeasuredProperty	T6	concentrations	"{""HasQuantity"": ""T4"", ""HasProperty"": ""T5""}"
S030881461301604X-1002	3	Quantity	T7	100 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	3	MeasuredEntity	T8	As(III)	"{""HasProperty"": ""T9""}"
S030881461301604X-1002	3	MeasuredProperty	T9	concentrations	"{""HasQuantity"": ""T7"", ""HasProperty"": ""T8""}"
S030881461301604X-1002	4	Quantity	T10	1 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	4	MeasuredEntity	T11	As(III)	"{""HasProperty"": ""T12""}"
S030881461301604X-1002	4	MeasuredProperty	T12	concentrations	"{""HasQuantity"": ""T10"", ""HasProperty"": ""T11""}"
S030881461301604X-1002	5	Quantity	T13	100 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	5	MeasuredEntity	T14	DMA	"{""HasProperty"": ""T15""}"
S030881461301604X-1002	5	MeasuredProperty	T15	concentrations	"{""HasQuantity"": ""T13"", ""HasProperty"": ""T14""}"
S030881461301604X-1002	6	Quantity	T16	1 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	6	MeasuredEntity	T17	DMA	"{""HasProperty"": ""T18""}"
S030881461301604X-1002	6	MeasuredProperty	T18	concentrations	"{""HasQuantity"": ""T16"", ""HasProperty"": ""T17""}"
S030881461301604X-1002	7	Quantity	T19	100 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	7	MeasuredEntity	T20	MMA	"{""HasProperty"": ""T21""}"
S030881461301604X-1002	7	MeasuredProperty	T21	concentrations	"{""HasQuantity"": ""T19"", ""HasProperty"": ""T20""}"
S030881461301604X-1002	8	Quantity	T22	1 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	8	MeasuredEntity	T23	MMA	"{""HasProperty"": ""T24""}"
S030881461301604X-1002	8	MeasuredProperty	T24	concentrations	"{""HasQuantity"": ""T22"", ""HasProperty"": ""T23""}"
S030881461301604X-1002	9	Quantity	T25	10 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	9	MeasuredEntity	T26	As(V)	"{""HasProperty"": ""T27""}"
S030881461301604X-1002	9	MeasuredProperty	T27	concentrations	"{""HasQuantity"": ""T25"", ""HasProperty"": ""T26""}"
