docId	annotSet	annotType	annotId	text	other
S0012821X13007309-1691	1	Quantity	T1	1 m	"{""unit"": ""m""}"
S0012821X13007309-1691	1	MeasuredEntity	T2	Livello Bonarelli	"{""HasProperty"": ""T3""}"
S0012821X13007309-1691	1	MeasuredProperty	T3	thick	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S0012821X13007309-1691	2	Quantity	T4	Up to 20 m	"{""unit"": ""m"", ""mods"": [""IsApproximate""]}"
S0012821X13007309-1691	2	MeasuredEntity	T5	organic-rich shale layers	"{""HasQuantity"": ""T4""}"
S0012821X13007309-1691	2	MeasuredProperty	T6	depth beneath Bonarelli level	"{""HasQuantity"": ""T4"", ""HasProperty"": ""T5""}"
S0012821X13007309-1691	2	Qualifier	T7	centimetre scale	"{""Qualifies"": ""T5""}"
S0012821X13007309-1691	3	Quantity	T8	∼−25.9 to −26.5‰	"{""unit"": ""‰"", ""mods"": [""IsRange"", ""IsApproximate""]}"
S0012821X13007309-1691	3	MeasuredEntity	T9	δ13Corg record	"{""HasProperty"": ""T10""}"
S0012821X13007309-1691	3	MeasuredProperty	T10	background values	"{""HasQuantity"": ""T8"", ""HasProperty"": ""T9""}"
S0012821X13007309-1691	4	Quantity	T11	4‰	"{""unit"": ""‰""}"
S0012821X13007309-1691	4	MeasuredEntity	T12	δ13Corg	"{""HasProperty"": ""T13""}"
S0012821X13007309-1691	4	MeasuredProperty	T13	shift	"{""HasQuantity"": ""T11"", ""HasProperty"": ""T12""}"
S0012821X13007309-1691	5	Quantity	T14	−27.2 to −23.1‰	"{""unit"": ""‰"", ""mods"": [""IsRange""]}"
S0012821X13007309-1691	5	MeasuredEntity	T15	δ13Corg	"{""HasProperty"": ""T16""}"
S0012821X13007309-1691	5	MeasuredProperty	T16	values	"{""HasQuantity"": ""T14"", ""HasProperty"": ""T15""}"
S0012821X13007309-1691	6	Quantity	T17	<0.5 m	"{""unit"": ""m""}"
S0012821X13007309-1691	6	MeasuredEntity	T18	positive excursion in δ13Corg	"{""HasProperty"": ""T19""}"
S0012821X13007309-1691	6	MeasuredProperty	T19	extent	"{""HasQuantity"": ""T17"", ""HasProperty"": ""T18""}"
