docId	annotSet	annotType	annotId	text	other
S0012821X12004384-1221	1	Quantity	T1	200 m	"{""unit"": ""m""}"
S0012821X12004384-1221	1	MeasuredEntity	T2	benthic foraminifera	"{""HasQuantity"": ""T1""}"
S0012821X12004384-1221	1	MeasuredProperty	T3	water depth	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S0012821X12004384-1221	2	Quantity	T4	>1000 m	"{""unit"": ""m""}"
S0012821X12004384-1221	2	MeasuredEntity	T5	benthic foraminifera	"{""HasQuantity"": ""T4""}"
S0012821X12004384-1221	2	MeasuredProperty	T6	water depth	"{""HasQuantity"": ""T4"", ""HasProperty"": ""T5""}"
S0012821X12004384-1221	3	Quantity	T7	>0.5 km	"{""unit"": ""km""}"
S0012821X12004384-1221	3	MeasuredEntity	T8	central parts of the northern North Sea	"{""HasQuantity"": ""T7""}"
S0012821X12004384-1221	3	MeasuredProperty	T9	paleodepths	"{""HasQuantity"": ""T7"", ""HasProperty"": ""T8""}"
S0012821X12004384-1221	3	Qualifier	T10	in the earliest Eocene near 22/10a-4	"{""Qualifies"": ""T7""}"
