docId	annotSet	annotType	annotId	text	other
S0167880913001229-1304	1	Quantity	T1	up to 11.25 Mg ha−1 year−1	"{""unit"": ""Mg ha−1 year−1"", ""mods"": [""IsApproximate""]}"
S0167880913001229-1304	1	MeasuredEntity	T2	organic fertilisers	"{""HasQuantity"": ""T1""}"
S0167880913001229-1304	1	MeasuredProperty	T3	application	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S0167880913001229-1304	2	Quantity	T4	0.24	"{""unit"": """", ""mods"": []}"
S0167880913001229-1304	2	MeasuredEntity	T5	differences between these subplot treatments for total inputs of above-ground biomass to the soil in the form of senescent leaf litter and pruned material	"{""HasQuantity"": ""T4""}"
S0167880913001229-1304	2	MeasuredProperty	T6	p	"{""HasQuantity"": ""T4"", ""HasProperty"": ""T5""}"
S0167880913001229-1304	3	Quantity	T7	0.18	"{""unit"": """", ""mods"": []}"
S0167880913001229-1304	3	MeasuredEntity	T8	changes in 0–10 cm depth SOC	"{""HasQuantity"": ""T7""}"
S0167880913001229-1304	3	MeasuredProperty	T9	r2	"{""HasQuantity"": ""T7"", ""HasProperty"": ""T8""}"
S0167880913001229-1304	4	Quantity	T10	0.01	"{""unit"": """", ""mods"": []}"
S0167880913001229-1304	4	MeasuredEntity	T11	correlation between the mass of organic fertiliser inputs and changes in 0–10 cm depth SOC	"{""HasQuantity"": ""T10""}"
S0167880913001229-1304	4	MeasuredProperty	T12	p	"{""HasQuantity"": ""T10"", ""HasProperty"": ""T11""}"
S0167880913001229-1304	4	Qualifier	T13	<	"{""Qualifies"": ""T10""}"
S0167880913001229-1304	5	Quantity	T14	0–10 cm	"{""unit"": ""cm"", ""mods"": [""IsRange""]}"
S0167880913001229-1304	5	MeasuredEntity	T15	SOC	"{""HasQuantity"": ""T14""}"
S0167880913001229-1304	5	MeasuredProperty	T16	depth	"{""HasQuantity"": ""T14"", ""HasProperty"": ""T15""}"
S0167880913001229-1304	6	Quantity	T17	0–40 cm	"{""unit"": ""cm"", ""mods"": [""IsRange""]}"
S0167880913001229-1304	6	MeasuredEntity	T18	SOC stock	"{""HasQuantity"": ""T17""}"
S0167880913001229-1304	6	MeasuredProperty	T19	depth	"{""HasQuantity"": ""T17"", ""HasProperty"": ""T18""}"
S0167880913001229-1304	7	Quantity	T20	two	"{""unit"": """", ""mods"": [""IsCount""]}"
S0167880913001229-1304	7	MeasuredEntity	T21	lower soil depths	"{""HasQuantity"": ""T20""}"
