docId	annotSet	annotType	annotId	text	other
S0019103512003995-2737	1	Quantity	T1	5–10	"{""unit"": ""times"", ""mods"": [""IsRange""]}"
S0019103512003995-2737	1	MeasuredEntity	T2	stellar XUV flux	"{""HasQuantity"": ""T1""}"
S0019103512003995-2737	1	MeasuredProperty	T3	stronger	"{""HasProperty"": ""T2"", ""HasQuantity"": ""T1""}"
S0019103512003995-2737	1	Qualifier	T4	than the average solar flux	"{""Qualifies"": ""T3""}"
S0019103512003995-2737	2	Quantity	T5	8000–9000 K	"{""unit"": ""K"", ""mods"": [""IsMean"", ""IsRange""]}"
S0019103512003995-2737	2	MeasuredProperty	T6	mean temperature	"{""HasQuantity"": ""T5""}"
S0019103512003995-2737	3	Quantity	T7	109–1010 kg s−1	"{""unit"": ""kg s−1"", ""mods"": [""IsRange""]}"
S0019103512003995-2737	3	MeasuredEntity	T8	planet’s mass	"{""HasQuantity"": ""T7""}"
S0019103512003995-2737	3	MeasuredProperty	T9	mass loss rates	"{""HasProperty"": ""T8"", ""HasQuantity"": ""T7""}"
S0019103512003995-2737	4	Quantity	T10	10–100%	"{""unit"": ""%"", ""mods"": [""IsRange""]}"
S0019103512003995-2737	4	MeasuredEntity	T11	planet’s mass	"{""HasQuantity"": ""T10""}"
S0019103512003995-2737	4	MeasuredProperty	T12	loss	"{""HasProperty"": ""T11"", ""HasQuantity"": ""T10""}"
S0019103512003995-2737	5	Quantity	T13	∼10 times	"{""unit"": ""times"", ""mods"": [""IsApproximate""]}"
S0019103512003995-2737	5	MeasuredEntity	T14	energy inputs	"{""HasQuantity"": ""T13""}"
S0019103512003995-2737	5	MeasuredProperty	T15	solar average	"{""HasProperty"": ""T14"", ""HasQuantity"": ""T13""}"
S0019103512003995-2737	5	Qualifier	T16	less than	"{""Qualifies"": ""T13""}"
