docId	annotSet	annotType	annotId	text	other
S0022459611006116-1351	1	Quantity	T1	1423 K	"{""unit"": ""K""}"
S0022459611006116-1351	1	MeasuredEntity	T2	pale cream powder	"{""HasQuantity"": ""T1""}"
S0022459611006116-1351	1	MeasuredProperty	T3	temperature	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S0022459611006116-1351	2	Quantity	T4	a=4.1816(4) Å	"{""unit"": ""Å"", ""mods"": [""HasTolerance""]}"
S0022459611006116-1351	2	Quantity	T5	c=10.0322(6) Å	"{""unit"": ""Å"", ""mods"": [""HasTolerance""]}"
S0022459611006116-1351	2	MeasuredEntity	T6	tetragonal unit cell	"{""HasQuantity"": ""T4"", ""HasQuantity"": ""T5""}"
S0022459611006116-1351	2	MeasuredProperty	T7	cell parameters	"{""HasQuantity"": ""T4"", ""HasQuantity"": ""T5"", ""HasProperty"": ""T6""}"
S0022459611006116-1351	3	Quantity	T8	a=4.186 Å	"{""unit"": ""Å""}"
S0022459611006116-1351	3	Quantity	T9	c=10.042 Å	"{""unit"": ""Å""}"
S0022459611006116-1351	3	MeasuredEntity	T10	literature values	"{""HasQuantity"": ""T8"", ""HasQuantity"": ""T9""}"
S0022459611006116-1351	3	MeasuredProperty	T11	cell parameters	"{""HasQuantity"": ""T8"", ""HasQuantity"": ""T9"", ""HasProperty"": ""T10""}"
