docId	annotSet	annotType	annotId	text	other
S1873506113001116-1204	1	Quantity	T1-1	3 passages	"{""unit"": ""passages"", ""mods"": [""IsCount""]}"
S1873506113001116-1204	1	MeasuredEntity	T1-2	BC1 cells	"{""HasProperty"": ""T1-3""}"
S1873506113001116-1204	1	MeasuredProperty	T1-3	passages	"{""HasQuantity"": ""T1-1""}"
S1873506113001116-1204	2	Quantity	T2-1	24 h	"{""unit"": ""h""}"
S1873506113001116-1204	2	MeasuredEntity	T2-2	cell aggregates	"{""HasProperty"": ""T2-3""}"
S1873506113001116-1204	2	MeasuredProperty	T2-3	time	"{""HasQuantity"": ""T2-1""}"
S1873506113001116-1204	3	Quantity	T3-1	3.7 ± 0.9 fold	"{""unit"": ""fold"", ""mods"": [""IsMeanHasSD""]}"
S1873506113001116-1204	3	MeasuredEntity	T3-2	BC1 cells	"{""HasProperty"": ""T3-3""}"
S1873506113001116-1204	3	MeasuredProperty	T3-3	expansion rate	"{""HasQuantity"": ""T3-1""}"
S1873506113001116-1204	4	Quantity	T4-1	3.7 × 10^6 fold	"{""unit"": ""fold""}"
S1873506113001116-1204	4	MeasuredEntity	T4-2	BC1 cells	"{""HasProperty"": ""T4-3""}"
S1873506113001116-1204	4	MeasuredProperty	T4-3	total fold increase	"{""HasQuantity"": ""T4-1""}"
S1873506113001116-1204	4	Qualifier	T4-4	after 13 passages	"{""Qualifies"": ""T4-1""}"
S1873506113001116-1204	5	Quantity	T5-1	> 99%	"{""unit"": ""%"", ""mods"": [""IsApproximate""]}"
S1873506113001116-1204	5	MeasuredEntity	T5-2	cells	"{""HasProperty"": ""T5-3""}"
S1873506113001116-1204	5	MeasuredProperty	T5-3	TRA-1–60+ percentage	"{""HasQuantity"": ""T5-1""}"
S1873506113001116-1204	6	Quantity	T6-1	day 10	"{""unit"": ""day"", ""mods"": [""IsCount""]}"
S1873506113001116-1204	6	MeasuredEntity	T6-2	leukocyte-like cells	"{""HasProperty"": ""T6-3""}"
S1873506113001116-1204	6	MeasuredProperty	T6-3	days	"{""HasQuantity"": ""T6-1""}"
S1873506113001116-1204	7	Quantity	T7-1	46.8% ± 1.6%	"{""unit"": ""%"", ""mods"": [""IsMeanHasSD""]}"
S1873506113001116-1204	7	MeasuredEntity	T7-2	cells	"{""HasProperty"": ""T7-3""}"
S1873506113001116-1204	7	MeasuredProperty	T7-3	CD34+CD45+ HPCs percentage	"{""HasQuantity"": ""T7-1""}"
S1873506113001116-1204	7	Qualifier	T7-4	under the hematopoiesis-inducing condition	"{""Qualifies"": ""T7-1""}"
