docId	annotSet	annotType	annotId	text	other
S0012821X12004384-1178	1	Quantity	T1	55.8 Ma ago	"{""unit"": ""Ma""}"
S0012821X12004384-1178	1	MeasuredEntity	T2	PETM	"{""HasQuantity"": ""T1""}"
S0012821X12004384-1178	1	MeasuredProperty	T3	age	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S0012821X12004384-1178	2	Quantity	T4	5–8 °C	"{""unit"": ""°C"", ""mods"": [""IsRange""]}"
S0012821X12004384-1178	2	MeasuredEntity	T5	sea surface temperatures	"{""HasQuantity"": ""T4""}"
S0012821X12004384-1178	2	MeasuredProperty	T6	temperature	"{""HasQuantity"": ""T4"", ""HasProperty"": ""T5""}"
S0012821X12004384-1178	3	Quantity	T7	<20 ka	"{""unit"": ""ka"", ""mods"": [""IsRange""]}"
S0012821X12004384-1178	3	MeasuredEntity	T8	injection of δ13C-depleted carbon	"{""HasQuantity"": ""T7""}"
S0012821X12004384-1178	3	MeasuredProperty	T9	duration	"{""HasQuantity"": ""T7"", ""HasProperty"": ""T8""}"
S0012821X12004384-1178	4	Quantity	T10	−2 and −7‰	"{""unit"": ""‰"", ""mods"": [""IsRange""]}"
S0012821X12004384-1178	4	MeasuredEntity	T11	carbon isotope excursion (CIE)	"{""HasQuantity"": ""T10""}"
S0012821X12004384-1178	4	MeasuredProperty	T12	δ13C value	"{""HasQuantity"": ""T10"", ""HasProperty"": ""T11""}"
S0012821X12004384-1178	5	Quantity	T13	170 ka	"{""unit"": ""ka""}"
S0012821X12004384-1178	5	MeasuredEntity	T14	carbon isotope excursion (CIE)	"{""HasQuantity"": ""T13""}"
S0012821X12004384-1178	5	MeasuredProperty	T15	duration	"{""HasQuantity"": ""T13"", ""HasProperty"": ""T14""}"
S0012821X12004384-1178	6	Quantity	T16	<−60‰	"{""unit"": ""‰"", ""mods"": [""IsRange""]}"
S0012821X12004384-1178	6	MeasuredEntity	T17	marine hydrates containing biogenic methane	"{""HasQuantity"": ""T16""}"
S0012821X12004384-1178	6	MeasuredProperty	T18	δ13C	"{""HasQuantity"": ""T16"", ""HasProperty"": ""T17""}"
