docId	annotSet	annotType	annotId	text	other
S0012821X12004384-1249	1	Quantity	T1	57°44’8.47”N	"{""unit"": ""°""}"
S0012821X12004384-1249	1	MeasuredEntity	T2	Borehole 22/10a-4	"{""HasQuantity"": ""T1""}"
S0012821X12004384-1249	2	Quantity	T3	1°50’26.59”E	"{""unit"": ""°""}"
S0012821X12004384-1249	2	MeasuredEntity	T4	Borehole 22/10a-4	"{""HasQuantity"": ""T3""}"
S0012821X12004384-1249	3	Quantity	T5	2605 m to 2634 m	"{""unit"": ""m"", ""mods"": [""IsRange""]}"
S0012821X12004384-1249	3	MeasuredEntity	T6	section of 22/10a-4	"{""HasQuantity"": ""T5""}"
S0012821X12004384-1249	3	MeasuredProperty	T7	core depth	"{""HasQuantity"": ""T5"", ""HasProperty"": ""T6""}"
S0012821X12004384-1249	4	Quantity	T8	mm-thick	"{""unit"": ""mm""}"
S0012821X12004384-1249	4	MeasuredEntity	T9	ash layers	"{""HasQuantity"": ""T8""}"
S0012821X12004384-1249	4	MeasuredProperty	T10	thickness	"{""HasQuantity"": ""T8"", ""HasProperty"": ""T9""}"
S0012821X12004384-1249	5	Quantity	T11	2609–2613 m	"{""unit"": ""m"", ""mods"": [""IsRange""]}"
S0012821X12004384-1249	5	MeasuredEntity	T12	claystone	"{""HasQuantity"": ""T11""}"
S0012821X12004384-1249	6	Quantity	T13	1 to 25 per mm	"{""unit"": ""per mm"", ""mods"": [""IsRange""]}"
S0012821X12004384-1249	6	MeasuredEntity	T14	laminae couplets	"{""HasQuantity"": ""T13""}"
S0012821X12004384-1249	6	MeasuredProperty	T15	count per mm	"{""HasQuantity"": ""T13"", ""HasProperty"": ""T14""}"
S0012821X12004384-1249	7	Quantity	T16	approximately 13 pairs per mm	"{""unit"": ""pairs per mm"", ""mods"": [""IsApproximate""]}"
S0012821X12004384-1249	7	MeasuredEntity	T17	pairs	"{""HasQuantity"": ""T16""}"
S0012821X12004384-1249	7	MeasuredProperty	T18	count per mm	"{""HasQuantity"": ""T16"", ""HasProperty"": ""T17""}"
S0012821X12004384-1249	5	Qualifier	T19	finely laminated	"{""Qualifies"": ""T12""}"
S0012821X12004384-1249	4	Qualifier	T20	occasional	"{""Qualifies"": ""T9""}"
