docId	annotSet	annotType	annotId	text	other
S016412121300188X-3207	1	Quantity	T1	89%	"{""unit"": ""%""}"
S016412121300188X-3207	1	MeasuredEntity	T2	programs	"{""HasQuantity"": ""T1""}"
S016412121300188X-3207	1	MeasuredProperty	T3	percentage	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S016412121300188X-3207	2	Quantity	T4	10%	"{""unit"": ""%""}"
S016412121300188X-3207	2	MeasuredEntity	T5	program's statements	"{""HasQuantity"": ""T4""}"
S016412121300188X-3207	2	MeasuredProperty	T6	percentage	"{""HasQuantity"": ""T4"", ""HasProperty"": ""T5""}"
S016412121300188X-3207	3	Quantity	T7	20KLoC	"{""unit"": ""KLoC""}"
S016412121300188X-3207	3	MeasuredEntity	T8	programs	"{""HasQuantity"": ""T7""}"
S016412121300188X-3207	3	MeasuredProperty	T9	size	"{""HasQuantity"": ""T7"", ""HasProperty"": ""T8""}"
S016412121300188X-3207	4	Quantity	T10	40%	"{""unit"": ""%""}"
S016412121300188X-3207	4	MeasuredEntity	T11	programs	"{""HasQuantity"": ""T10""}"
S016412121300188X-3207	4	MeasuredProperty	T12	percentage	"{""HasQuantity"": ""T10"", ""HasProperty"": ""T11""}"
S016412121300188X-3207	5	Quantity	T13	half	"{""unit"": """"}"
S016412121300188X-3207	5	MeasuredEntity	T14	program	"{""HasQuantity"": ""T13""}"
S016412121300188X-3207	5	MeasuredProperty	T15	proportion	"{""HasQuantity"": ""T13"", ""HasProperty"": ""T14""}"
