docId	annotSet	annotType	annotId	text	other
S095741741101342X-2642	1	Quantity	T1	multiple	"{""mods"": [""IsCount""]}"
S095741741101342X-2642	1	MeasuredEntity	T2	techniques	"{""HasQuantity"": ""T1""}"
S095741741101342X-2642	1	MeasuredProperty	T3	number	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S095741741101342X-2642	2	MeasuredEntity	T5	data sets	"{""HasQuantity"": ""T4""}"
S095741741101342X-2642	2	MeasuredProperty	T6	size	"{""HasQuantity"": ""T4"", ""HasProperty"": ""T5""}"
S095741741101342X-2642	3	MeasuredEntity	T8	data sets	"{""HasQuantity"": ""T7""}"
S095741741101342X-2642	3	MeasuredProperty	T9	variety	"{""HasQuantity"": ""T7"", ""HasProperty"": ""T8""}"
S095741741101342X-2642	4	MeasuredEntity	T11	class distributions	"{""HasQuantity"": ""T10""}"
S095741741101342X-2642	4	MeasuredProperty	T12	distribution	"{""HasQuantity"": ""T10"", ""HasProperty"": ""T11""}"
S095741741101342X-2642	5	Quantity	T13	actual number	"{""mods"": [""IsCount""]}"
S095741741101342X-2642	5	MeasuredEntity	T14	class distributions	"{""HasQuantity"": ""T13""}"
S095741741101342X-2642	5	MeasuredProperty	T15	number	"{""HasQuantity"": ""T13"", ""HasProperty"": ""T14""}"
