docId	annotSet	annotType	annotId	text	other
S016412121300188X-4545	1	Quantity	T1	five	"{""mods"": [""IsCount""]}"
S016412121300188X-4545	1	MeasuredEntity	T2	clusters	"{""HasQuantity"": ""T1""}"
S016412121300188X-4545	1	MeasuredProperty	T3	count	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S016412121300188X-4545	2	Quantity	T4	11.4%	"{""unit"": ""%""}"
S016412121300188X-4545	2	MeasuredEntity	T5	cluster	"{""HasProperty"": ""T6""}"
S016412121300188X-4545	2	MeasuredProperty	T6	size	"{""HasQuantity"": ""T4"", ""HasProperty"": ""T5""}"
S016412121300188X-4545	3	Quantity	T7	2.4%	"{""unit"": ""%""}"
S016412121300188X-4545	3	MeasuredEntity	T8	cluster	"{""HasProperty"": ""T9""}"
S016412121300188X-4545	3	MeasuredProperty	T9	size	"{""HasQuantity"": ""T7"", ""HasProperty"": ""T8""}"
S016412121300188X-4545	4	Quantity	T10	30 vertices	"{""unit"": ""vertices"", ""mods"": [""IsCount""]}"
S016412121300188X-4545	4	MeasuredEntity	T11	clusters	"{""HasProperty"": ""T12""}"
S016412121300188X-4545	4	MeasuredProperty	T12	vertex count	"{""HasQuantity"": ""T10"", ""HasProperty"": ""T11""}"
S016412121300188X-4545	5	Quantity	T13	less than 2%	"{""unit"": ""%"", ""mods"": [""IsApproximate""]}"
S016412121300188X-4545	5	MeasuredEntity	T14	clusters	"{""HasProperty"": ""T15""}"
S016412121300188X-4545	5	MeasuredProperty	T15	size	"{""HasQuantity"": ""T13"", ""HasProperty"": ""T14""}"
