docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0006322312001096-1271	1	Quantity	222	230	T1	26,29,49	"{""mods"": [""IsList""]}"
S0006322312001096-1271	1	MeasuredEntity	191	220	T2	antidepressant medication use	"{""HasProperty"": ""T3""}"
S0006322312001096-1271	1	MeasuredProperty	165	190	T3	information on prescribed	"{""HasQuantity"": ""T1""}"
S0006322312001096-1271	2	Quantity	732	742	T4	4,35–38,44	"{""mods"": [""IsList"", ""IsRange""]}"
S0006322312001096-1271	2	MeasuredEntity	641	658	T5	previous research	"{""HasProperty"": ""T6""}"
S0006322312001096-1271	3	Quantity	783	786	T7	274	"{""mods"": [""IsCount""]}"
S0006322312001096-1271	3	MeasuredEntity	787	807	T8	elderly participants	"{""HasQuantity"": ""T7""}"
S0006322312001096-1271	4	Quantity	978	988	T9	almost 90%	"{""unit"": ""%"", ""mods"": [""IsApproximate""]}"
S0006322312001096-1271	4	MeasuredEntity	993	1018	T10	CES-D depressive symptoms	"{""HasProperty"": ""T11""}"
S0006322312001096-1271	5	Quantity	1023	1040	T12	approximately 80%	"{""unit"": ""%"", ""mods"": [""IsApproximate""]}"
S0006322312001096-1271	5	MeasuredEntity	1045	1057	T13	GHQ symptoms	"{""HasProperty"": ""T14""}"
