docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0960148113004989-2841	1	Quantity	216	225	T1	π/640 m−1	"{""unit"": ""m\u22121"", ""mods"": []}"
S0960148113004989-2841	1	Quantity	232	235	T2	2 m	"{""unit"": ""m"", ""mods"": []}"
S0960148113004989-2841	1	Quantity	241	245	T3	50 m	"{""unit"": ""m"", ""mods"": []}"
S0960148113004989-2841	1	Quantity	251	259	T4	3 m2 s−1	"{""unit"": ""m2 s\u22121"", ""mods"": []}"
S0960148113004989-2841	1	Quantity	158	159	T5	0	"{""unit"": """", ""mods"": [""IsCount""]}"
S0960148113004989-2841	1	Quantity	274	280	T6	0.0025	"{""unit"": """", ""mods"": []}"
S0960148113004989-2841	1	Quantity	286	296	T7	9.81 m s−2	"{""unit"": ""m s\u22122"", ""mods"": []}"
S0960148113004989-2841	1	Quantity	319	332	T8	π/(gHk)≈28.9s	"{""unit"": ""s"", ""mods"": [""IsApproximate""]}"
S0960148113004989-2841	1	Quantity	218	223	T9	640 m	"{""unit"": ""m"", ""mods"": []}"
S0960148113004989-2841	1	Quantity	445	450	T10	320 m	"{""unit"": ""m"", ""mods"": []}"
S0960148113004989-2841	1	MeasuredEntity	361	371	T11	wave cycle	"{""HasQuantity"": ""T8""}"
S0960148113004989-2841	1	MeasuredEntity	377	399	T12	computational domain Ω	"{""HasQuantity"": ""T10""}"
