docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0019103512003533-5318	1	Quantity	130	136	T1	10 keV	"{""unit"": ""keV"", ""mods"": []}"
S0019103512003533-5318	2	Quantity	276	285	T4	400–650 K	"{""unit"": ""K"", ""mods"": [""IsRange""]}"
S0019103512003533-5318	2	MeasuredEntity	268	274	T5	Saturn	"{""HasQuantity"": ""T4""}"
S0019103512003533-5318	2	MeasuredProperty	243	264	T6	observed temperatures	"{""HasQuantity"": ""T4""}"
S0019103512003533-5318	3	Quantity	649	660	T7	∼100 mV m−1	"{""unit"": ""mV m\u22121"", ""mods"": [""IsApproximate""]}"
S0019103512003533-5318	3	MeasuredEntity	616	645	T8	magnetospheric electric field	"{""HasQuantity"": ""T7""}"
S0019103512003533-5318	4	Quantity	741	749	T10	1 mW m−2	"{""unit"": ""mW m\u22122"", ""mods"": []}"
S0019103512003533-5318	4	MeasuredEntity	717	737	T11	10 keV electron flux	"{""HasQuantity"": ""T10""}"
S0019103512003533-5318	5	Quantity	788	794	T13	∼800 K	"{""unit"": ""K"", ""mods"": [""IsApproximate""]}"
S0019103512003533-5318	5	MeasuredEntity	759	784	T14	thermosphere temperatures	"{""HasQuantity"": ""T13""}"
S0019103512003533-5318	5	MeasuredProperty	772	784	T15	temperatures	"{""HasQuantity"": ""T13""}"
